Frame,Width,Height,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,
131,1920,1080,1.0000,15.9342,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
132,1920,1080,1.0000,15.4001,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
133,1920,1080,1.0000,14.4051,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
134,1920,1080,1.0000,13.5648,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
135,1920,1080,1.0000,13.5543,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
136,1920,1080,1.0000,12.6771,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
137,1920,1080,1.0000,12.4504,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
138,1920,1080,1.0000,11.8189,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
139,1920,1080,1.0000,11.7390,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
140,1920,1080,1.0000,11.2304,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
141,1920,1080,1.0000,11.2304,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
142,1920,1080,1.0000,10.6611,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
143,1920,1080,1.0000,10.6611,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
144,1920,1080,1.0000,10.7430,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
145,1920,1080,1.0000,10.5670,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
146,1920,1080,1.0000,10.5670,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
147,1920,1080,1.0000,10.6460,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
148,1920,1080,1.0000,10.5376,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
149,1920,1080,1.0000,10.3633,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
150,1920,1080,1.0000,10.3633,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
151,1920,1080,1.0000,10.0438,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
152,1920,1080,1.0000,9.6095,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
153,1920,1080,1.0000,8.8815,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
154,1920,1080,1.0000,7.9923,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
155,1920,1080,1.0000,7.3206,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
156,1920,1080,1.0000,7.0596,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
157,1920,1080,1.0000,6.3028,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
158,1920,1080,1.0000,5.8042,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
159,1920,1080,1.0000,5.8042,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
160,1920,1080,1.0000,5.8170,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
161,1920,1080,1.0000,5.7685,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
162,1920,1080,1.0000,5.6108,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
163,1920,1080,1.0000,5.6108,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
164,1920,1080,1.0000,6.7283,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
165,1920,1080,1.0000,8.5498,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
166,1920,1080,1.0000,9.8173,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
167,1920,1080,1.0000,11.4780,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
168,1920,1080,1.0000,12.7446,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
169,1920,1080,1.0000,13.6447,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
170,1920,1080,1.0000,14.2004,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
171,1920,1080,1.0000,14.5019,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
172,1920,1080,1.0000,14.7927,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
173,1920,1080,1.0000,14.7894,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
174,1920,1080,1.0000,14.7894,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
175,1920,1080,1.0000,15.0773,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
176,1920,1080,1.0000,15.1961,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
177,1920,1080,1.0000,15.3250,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
178,1920,1080,1.0000,15.2226,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
179,1920,1080,1.0000,15.2226,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
180,1920,1080,1.0000,15.2881,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
181,1920,1080,1.0000,14.7896,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
182,1920,1080,1.0000,14.5558,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
183,1920,1080,1.0000,14.5558,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
184,1920,1080,1.0000,14.5883,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
185,1920,1080,1.0000,14.7423,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
186,1920,1080,1.0000,15.0052,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
187,1920,1080,1.0000,15.1597,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
188,1920,1080,1.0000,14.7683,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
189,1920,1080,1.0000,14.6084,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
190,1920,1080,1.0000,14.2305,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
191,1920,1080,1.0000,13.4996,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
192,1920,1080,1.0000,12.9481,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
193,1920,1080,1.0000,12.0027,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
194,1920,1080,1.0000,11.5842,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
195,1920,1080,1.0000,10.5090,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
196,1920,1080,1.0000,10.1452,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
197,1920,1080,1.0000,9.5055,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
198,1920,1080,1.0000,8.7513,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
199,1920,1080,1.0000,8.1397,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
200,1920,1080,1.0000,7.6866,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
201,1920,1080,1.0000,6.4758,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
202,1920,1080,1.0000,5.1507,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
203,1920,1080,1.0000,5.1507,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
204,1920,1080,1.0000,5.6194,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
205,1920,1080,1.0000,6.6434,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
206,1920,1080,1.0000,8.5997,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
207,1920,1080,1.0000,10.1297,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
208,1920,1080,1.0000,11.2650,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
209,1920,1080,1.0000,11.7594,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
210,1920,1080,1.0000,12.4311,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
211,1920,1080,1.0000,12.6154,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
212,1920,1080,1.0000,13.2093,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
213,1920,1080,1.0000,13.6105,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
214,1920,1080,1.0000,14.0766,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
215,1920,1080,1.0000,14.6436,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
216,1920,1080,1.0000,14.9782,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
217,1920,1080,1.0000,15.0824,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
218,1920,1080,1.0000,14.5727,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
219,1920,1080,1.0000,13.8613,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
220,1920,1080,1.0000,13.6212,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
221,1920,1080,1.0000,13.0604,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
222,1920,1080,1.0000,12.2345,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
223,1920,1080,1.0000,12.2345,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
224,1920,1080,1.0000,10.5384,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
225,1920,1080,1.0000,10.5384,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
226,1920,1080,1.0000,8.9162,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
227,1920,1080,1.0000,8.2299,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
228,1920,1080,1.0000,8.0069,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
229,1920,1080,1.0000,8.0069,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
230,1920,1080,1.0000,8.5320,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
231,1920,1080,1.0000,8.9016,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
