Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,ms_ssim,vmaf,
85,72.000000,10.759398,10.965457,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
86,72.000000,10.759398,10.759398,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
87,72.000000,11.004663,11.004663,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999993,1.000000,100.000000,
88,72.000000,11.131080,11.468913,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999994,1.000000,100.000000,
89,72.000000,11.131080,11.131080,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999993,0.999992,0.999994,1.000000,100.000000,
90,72.000000,11.535138,11.540247,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999994,1.000000,100.000000,
91,72.000000,11.535138,11.535138,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999994,1.000000,100.000000,
92,72.000000,11.695511,11.695511,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999994,1.000000,100.000000,
93,72.000000,11.822324,11.925516,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999993,0.999992,0.999994,1.000000,100.000000,
94,72.000000,11.822324,11.822324,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999994,0.999992,0.999994,1.000000,100.000000,
95,72.000000,12.074512,12.074512,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999993,0.999992,0.999994,1.000000,100.000000,
96,72.000000,12.304341,12.304341,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999994,0.999992,0.999994,1.000000,100.000000,
97,72.000000,12.813214,12.813214,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999994,0.999993,0.999994,1.000000,100.000000,
98,72.000000,13.126847,13.126847,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999994,0.999993,0.999994,1.000000,100.000000,
99,72.000000,13.400209,13.400209,1.000000,1.000002,1.000010,1.000000,1.000001,1.000001,1.000000,0.999994,0.999993,0.999994,1.000000,100.000000,
100,72.000000,13.500449,13.500449,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
101,72.000000,13.712493,13.712493,1.000000,1.000002,1.000010,1.000000,1.000000,1.000001,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
102,72.000000,13.804398,13.850349,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999995,0.999994,0.999995,1.000000,100.000000,
103,72.000000,13.804398,13.804398,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
104,72.000000,14.227584,14.227584,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999995,0.999994,0.999995,1.000000,100.000000,
105,72.000000,14.244014,14.259000,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
106,72.000000,14.221683,14.244014,1.000000,1.000002,1.000010,1.000000,1.000001,1.000001,1.000000,0.999995,0.999994,0.999994,1.000000,100.000000,
107,72.000000,14.214548,14.221683,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
108,72.000000,14.214548,14.214548,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999996,0.999994,0.999994,1.000000,100.000000,
109,72.000000,14.378416,14.378416,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999996,0.999994,0.999995,1.000000,100.000000,
